"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"TO-220-3_Vertical";1;"LM7805_TO220";;;
2;"C3";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"0.1uf";;;
3;"J1";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
4;"U1";"TO-220-3_Vertical";1;"LM317_TO-220";;;
5;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
6;"S1";"Switch_Slide_11.6x4mm_EG1218";1;"EG1218";;;
7;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
8;"D1";"LED_D5.0mm";1;"LED";;;
9;"C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"1uf";;;
10;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"10uf";;;
11;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"560";;;
12;"R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"330";;;
